state,total_fatalities,victims_injured,month,day,year
Missouri,2,3,5,7,2021
New Jersey,0,5,5,6,2021
Pennsylvania,1,3,5,2,2021
Maryland,1,3,5,2,2021
Illinois,0,5,5,2,2021
Florida,1,3,5,1,2021
Massachusetts,0,5,5,1,2021
Wisconsin,3,1,5,1,2021
Georgia,1,3,5,1,2021
Florida,0,5,4,28,2021
North Carolina,5,0,4,28,2021
Virginia,2,3,4,27,2021
Oregon,0,7,4,26,2021
Louisiana,0,5,4,25,2021
Arkansas,1,3,4,25,2021
Missouri,1,3,4,25,2021
Louisiana,0,5,4,24,2021
United States Virgin Islands,2,2,4,19,2021
Texas,2,3,4,19,2021
Georgia,0,5,4,19,2021
Louisiana,0,5,4,18,2021
Michigan,1,5,4,18,2021
Wisconsin,3,2,4,18,2021
Louisiana,0,9,4,17,2021
Ohio,1,5,4,17,2021
Indiana,9,7,4,15,2021
Florida,0,5,4,15,2021
Illinois,1,3,4,12,2021
Tennessee,1,3,4,12,2021
Georgia,1,3,4,12,2021
Kansas,1,3,4,11,2021
Washington,0,5,4,11,2021
Missouri,1,3,4,10,2021
Texas,1,5,4,9,2021
Texas,1,5,4,8,2021
Wisconsin,2,2,4,7,2021
South Carolina,7,0,4,7,2021
Michigan,1,3,4,6,2021
New York,4,0,4,6,2021
Illinois,0,7,4,5,2021
Maryland,0,5,4,5,2021
Texas,6,0,4,5,2021
Louisiana,0,6,4,4,2021
Alabama,1,6,4,4,2021
Alabama,0,5,4,3,2021
Florida,0,7,4,3,2021
North Carolina,3,4,4,3,2021
California,4,2,3,31,2021
"Washington, D.C.",2,3,3,31,2021
Maryland,5,1,3,28,2021
Ohio,0,7,3,28,2021
Illinois,1,3,3,27,2021
Mississippi,0,6,3,27,2021
Tennessee,3,2,3,27,2021
Pennsylvania,0,7,3,26,2021
Virginia,2,8,3,26,2021
Illinois,1,7,3,26,2021
Alabama,2,2,3,23,2021
Michigan,1,3,3,22,2021
Ohio,2,2,3,22,2021
Colorado,10,2,3,22,2021
Texas,0,5,3,20,2021
Texas,1,7,3,20,2021
California,0,5,3,17,2021
Arizona,4,1,3,16,2021
Georgia,8,1,3,16,2021
Illinois,2,13,3,14,2021
New York,0,5,3,13,2021
Indiana,4,1,3,13,2021
Florida,1,3,3,13,2021
New Mexico,1,3,3,11,2021
Pennsylvania,2,2,3,11,2021
Texas,3,1,3,10,2021
Florida,1,3,3,8,2021
California,2,3,3,6,2021
"Washington, D.C.",0,5,3,4,2021
Pennsylvania,1,3,3,3,2021
Ohio,4,2,2,28,2021
Louisiana,0,5,2,28,2021
Mississippi,2,3,2,27,2021
California,1,3,2,26,2021
Texas,1,5,2,26,2021
Pennsylvania,1,3,2,20,2021
Louisiana,3,2,2,20,2021
Colorado,1,3,2,19,2021
Louisiana,1,3,2,18,2021
Pennsylvania,0,8,2,17,2021
Florida,3,1,2,16,2021
California,0,6,2,13,2021
North Carolina,1,3,2,13,2021
California,0,6,2,13,2021
Washington,1,3,2,6,2021
Illinois,1,5,2,6,2021
Mississippi,3,1,2,5,2021
Virginia,2,2,2,5,2021
Pennsylvania,1,3,2,5,2021
North Carolina,2,3,2,4,2021
Colorado,3,1,2,3,2021
Colorado,2,3,2,3,2021
Tennessee,1,3,2,3,2021
Oklahoma,6,1,2,2,2021
Florida,3,3,2,2,2021
New York,1,3,2,1,2021
Pennsylvania,2,3,1,29,2021
Nevada,0,5,1,24,2021
Indiana,6,1,1,24,2021
Kentucky,0,5,1,22,2021
California,1,3,1,21,2021
Arizona,0,5,1,17,2021
Arizona,1,6,1,17,2021
Illinois,0,5,1,16,2021
California,0,5,1,16,2021
Texas,1,3,1,9,2021
Illinois,6,2,1,9,2021
"Washington, D.C.",0,5,1,7,2021
Virginia,1,3,1,6,2021
Texas,1,3,1,6,2021
Florida,0,5,1,5,2021
Florida,0,7,1,4,2021
Florida,0,8,1,3,2021
California,2,2,1,3,2021
Louisiana,2,3,1,3,2021
Texas,1,3,1,1,2021
Arkansas,0,7,1,1,2021
Mississippi,4,0,4,7,2022
Pennsylvania,1,3,4,6,2022
Connecticut,1,3,4,4,2022
California,2,2,4,3,2022
California,6,12,4,3,2022
Arkansas,2,2,4,3,2022
Texas,1,15,4,3,2022
Colorado,0,5,4,2,2022
Louisiana,1,3,4,2,2022
North Carolina,1,3,4,2,2022
South Carolina,0,5,4,1,2022
Pennsylvania,2,2,3,31,2022
Louisiana,2,2,3,27,2022
California,2,3,3,26,2022
Colorado,2,2,3,25,2022
Arizona,0,5,3,23,2022
California,1,3,3,22,2022
Illinois,2,2,3,21,2022
Texas,0,10,3,20,2022
Texas,1,3,3,20,2022
North Carolina,3,2,3,19,2022
Texas,0,10,3,19,2022
Arkansas,1,26,3,19,2022
Virginia,2,3,3,19,2022
Louisiana,0,5,3,18,2022
Texas,1,3,3,18,2022
Florida,2,2,3,17,2022
New Jersey,1,3,3,16,2022
Alabama,0,5,3,15,2022
Hawaii,1,3,3,15,2022
Pennsylvania,1,3,3,14,2022
Illinois,0,7,3,13,2022
New York,2,2,3,13,2022
Alabama,1,3,3,12,2022
Maryland,3,1,3,12,2022
Ohio,1,3,3,11,2022
Colorado,1,3,3,9,2022
Missouri,3,1,3,8,2022
Minnesota,1,3,3,6,2022
South Carolina,2,3,3,6,2022
Arizona,1,3,3,5,2022
Nevada,1,6,3,3,2022
Maryland,1,3,3,2,2022
California,5,0,2,28,2022
South Carolina,1,3,2,26,2022
Louisiana,0,10,2,26,2022
New Mexico,1,3,2,26,2022
Nevada,1,13,2,26,2022
Louisiana,2,2,2,25,2022
Texas,4,0,2,24,2022
Georgia,1,3,2,22,2022
Minnesota,1,3,2,21,2022
Oregon,1,3,2,20,2022
Oregon,1,5,2,19,2022
Missouri,2,14,2,19,2022
California,0,7,2,19,2022
North Carolina,2,2,2,19,2022
Texas,0,5,2,17,2022
Florida,1,3,2,16,2022
Illinois,1,3,2,15,2022
Wisconsin,1,5,2,13,2022
Arkansas,1,3,2,12,2022
Arizona,2,9,2,11,2022
California,2,2,2,6,2022
Illinois,0,5,2,6,2022
Texas,6,2,2,5,2022
Wisconsin,0,5,2,1,2022
Georgia,1,3,1,30,2022
Missouri,3,1,1,29,2022
Georgia,1,3,1,29,2022
Tennessee,4,0,1,28,2022
California,2,3,1,27,2022
Wisconsin,6,0,1,23,2022
California,4,1,1,23,2022
Washington,1,3,1,22,2022
Maryland,3,1,1,19,2022
Georgia,1,3,1,16,2022
Georgia,1,5,1,15,2022
Oregon,0,6,1,14,2022
Georgia,3,1,1,14,2022
California,1,5,1,9,2022
Alabama,1,6,1,9,2022
Colorado,2,2,1,9,2022
Texas,1,3,1,8,2022
Mississippi,1,3,1,4,2022
Texas,2,2,1,2,2022
Texas,2,2,1,2,2022
Illinois,2,3,1,1,2022
South Carolina,0,5,1,1,2022
Georgia,1,3,1,1,2022
Wisconsin,1,3,1,1,2022
Colorado,2,2,1,1,2022
